t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
250.5,99,5945,29.11,1777,5486,57,34.3,69.4,3.71,0.35,13.53
251.6,100,5924,29.29,1777,5486,56,37.6,69.1,1.6,0.0,13.53
252.6,100,5924,30.10,1777,5486,57,42.2,87.1,2.63,0.06,13.56
253.7,100,5924,29.85,1777,5486,57,32.7,73.1,1.73,0.06,13.53
254.8,100,5924,29.47,1777,5486,57,34.6,74.4,1.93,1.49,13.53
255.8,100,5924,28.78,1777,5486,57,39.2,83.4,2.16,0.0,13.53
256.9,99,5924,29.78,1777,5486,57,39.0,81.6,1.74,1.06,13.56
258.0,98,5924,28.38,1777,5486,57,33.8,82.4,3.33,5.96,13.51
259.0,99,5924,28.59,1777,5486,57,34.4,76.3,3.01,0.02,13.51
260.1,100,5924,28.54,1777,5486,56,35.6,78.4,1.86,0.21,13.5
261.1,100,5924,29.98,1777,5486,56,38.1,81.8,2.7,0.0,13.52
262.2,100,5924,29.42,1777,5486,56,31.4,71.5,3.15,0.05,13.55
263.3,99,5924,29.77,1777,5486,57,34.0,75.5,0.89,0.08,13.54
264.3,98,5924,27.97,1777,5486,57,32.4,72.2,2.05,0.0,13.53
265.4,100,5924,30.09,1777,5486,57,32.6,74.4,2.67,1.4,13.51
266.5,100,5924,29.04,1777,5486,57,30.9,84.0,3.79,0.0,13.52
267.5,100,5924,27.76,1777,5486,57,41.0,89.0,2.22,0.15,13.53
268.6,99,5924,29.23,1777,5486,56,33.3,79.5,3.36,0.01,13.52
269.6,100,5924,29.55,1777,5486,56,35.9,72.8,3.67,0.05,13.53
270.7,100,5924,30.13,1777,5486,57,37.6,71.2,3.1,1.1,13.56
271.8,100,5924,30.05,1777,5486,57,31.9,71.3,2.76,6.56,13.52
272.8,100,5924,28.89,1777,5486,57,35.0,68.4,1.67,0.06,13.53
273.9,100,5924,29.35,1777,5486,57,35.6,74.3,6.67,7.05,13.53
275.0,100,5924,29.68,1777,5486,57,34.6,79.0,1.6,0.5,13.51
276.1,99,5924,28.73,1777,5486,57,32.2,81.8,3.68,0.0,13.5
277.1,100,5924,29.01,1777,5486,57,32.7,84.3,2.5,0.06,13.5
278.2,100,5924,28.91,1777,5486,56,35.0,75.4,1.66,0.01,13.47
279.2,100,5924,30.08,1777,5486,56,29.5,75.0,2.14,0.05,13.49
280.3,100,5924,29.34,1777,5486,57,39.7,87.8,4.82,0.02,13.54
281.4,100,5924,29.59,1777,5486,56,37.7,74.0,3.54,1.67,13.54
282.4,100,5924,29.99,1777,5486,56,38.3,71.6,17.28,6.11,13.54
283.5,99,5924,27.45,1777,5486,57,41.7,79.9,2.11,1.36,13.55
284.6,97,5924,34.17,1777,5486,57,39.0,80.2,3.62,0.0,13.54
285.7,100,5924,27.76,1777,5486,57,28.3,80.2,2.09,0.5,13.56
286.7,99,5924,25.70,1777,5486,56,31.4,80.1,2.36,1.1,13.52
287.8,100,5924,30.12,1777,5486,56,34.5,69.3,4.98,0.73,13.52
288.8,100,5924,29.96,1777,5486,57,36.1,63.7,2.89,0.2,13.51
289.9,100,5924,29.23,1777,5486,56,34.3,69.8,1.51,0.06,13.56
291.0,100,5924,30.16,1777,5486,56,34.1,69.5,1.33,0.0,13.56
292.0,100,5924,29.48,1777,5486,57,39.1,74.4,4.16,0.11,13.54
293.1,100,5924,29.37,1777,5486,58,36.2,68.7,3.3,6.4,13.52
294.2,100,5924,28.79,1777,5486,57,40.3,76.0,2.7,9.16,13.5
295.2,100,5924,28.80,1777,5486,57,42.4,94.6,3.24,0.35,13.48
296.3,100,5924,29.43,1777,5486,56,39.5,90.6,1.51,1.09,13.5
297.4,100,5924,29.15,1777,5486,57,31.3,73.4,5.34,0.14,13.52
298.4,100,5924,29.21,1777,5486,56,39.3,72.3,2.61,0.25,13.59
299.5,100,5924,30.09,1777,5486,56,41.3,67.7,3.09,0.36,13.84
300.6,100,5924,29.98,1777,5486,56,48.8,78.9,6.75,0.24,13.88
